topRoute,category,subCategory,title,name,link,cover,firstLine,secondLine,footer,comment,flag
微信读书,微信读书,2023（218h36m）,相信,相信,https://search.douban.com/book/subject_search?search_text=相信,/resources/images/books/2023-11.jpg,首次读完：23/11,阅读时长：4h0m,人生很多事，不是因为看见而相信，而是相信了才能看见,以个人信念为锚点，探讨信仰在逆境中对行动与命运的驱动作用,
微信读书,微信读书,2023（218h36m）,雍正皇帝,雍正皇帝,https://search.douban.com/book/subject_search?search_text=雍正皇帝,/resources/images/books/2023-10.jpg,首次读完：23/10,阅读时长：48h41m,朕就是这样的汉子！宁可叫人怕，不可叫人欺,展现雍正铁腕治国的性格，揭示权力背后孤独与争议并存的帝王心术,
微信读书,微信读书,2023（218h36m）,康熙大帝,康熙大帝,https://search.douban.com/book/subject_search?search_text=康熙大帝,/resources/images/books/2023-9.jpg,首次读完：23/09,阅读时长：52h30m,治国如烹小鲜，既不可操之过急，亦不可懈怠疏忽,通过康熙的治国智慧，体现儒家中庸思想在帝王权术中的实践,
微信读书,微信读书,2023（218h36m）,撒哈拉的故事,撒哈拉的故事,https://search.douban.com/book/subject_search?search_text=撒哈拉的故事,/resources/images/books/2023-8.jpg,首次读完：23/08,阅读时长：13h29m,每想你一次，天上飘落一粒沙，从此形成了撒哈拉,三毛用诗意语言展现对自由与爱情的追求，以及对异域生活的深情记录,
微信读书,微信读书,2023（218h36m）,三体前传：球状闪电,三体前传：球状闪电,https://search.douban.com/book/subject_search?search_text=三体前传：球状闪电,/resources/images/books/2023-7.jpg,首次读完：23/07,阅读时长：6h20m,过去是确定的，未来是概率的；但概率的乌云中，也可能藏着确定的闪电,通过科学探索的未知性，隐喻人类在混沌中寻找真理的执着与代价,
微信读书,微信读书,2023（218h36m）,帝国首辅：张居正,帝国首辅：张居正,https://search.douban.com/book/subject_search?search_text=帝国首辅：张居正,/resources/images/books/2023-6.jpg,首次读完：23/07,阅读时长：8h54m,不谋全局者，不足谋一域,概括张居正改革的核心逻辑，强调统筹全局的治国智慧与锐意变革的魄力,
微信读书,微信读书,2023（218h36m）,邓小平时代,邓小平时代,https://search.douban.com/book/subject_search?search_text=邓小平时代,/resources/images/books/2023-5.jpg,首次读完：23/06,阅读时长：20h16m,不管黑猫白猫，捉到老鼠就是好猫,概括邓小平务实主义的改革哲学，强调以结果为导向的发展观,
微信读书,微信读书,2023（218h36m）,人性的弱点,人性的弱点,https://search.douban.com/book/subject_search?search_text=人性的弱点,/resources/images/books/2023-4.jpg,首次读完：23/04,阅读时长：7h40m,人不是因为没有信念而失败，而是因为不能把信念化成行动,卡耐基强调人际交往中真诚与行动力对成功的关键作用,
微信读书,微信读书,2023（218h36m）,了不起的盖茨比,了不起的盖茨比,https://search.douban.com/book/subject_search?search_text=了不起的盖茨比,/resources/images/books/2023-2.jpg,首次读完：23/03,阅读时长：4h4m,于是我们继续奋力向前，逆水行舟，被不断地向后推，直至回到往昔岁月,揭示美国梦的虚幻本质，繁华背后是永恒的失落与徒劳,
微信读书,微信读书,2023（218h36m）,挪威的森林,挪威的森林,https://search.douban.com/book/subject_search?search_text=挪威的森林,/resources/images/books/2023-1.jpg,首次读完：23/03,阅读时长：8h8m,死并非生的对立面，而是作为生的一部分永存,以青春与死亡为底色，探讨孤独与成长的共生关系,
微信读书,微信读书,2022（143h34m）,平凡的世界,平凡的世界,https://search.douban.com/book/subject_search?search_text=平凡的世界,/resources/images/books/2022-5.jpg,首次读完：22/10,阅读时长：54h25m,生活不能等待别人来安排，要自己去争取和奋斗,通过孙少安兄弟的奋斗，歌颂平凡人在逆境中追求尊严与理想的力量,
微信读书,微信读书,2022（143h34m）,人生,人生,https://search.douban.com/book/subject_search?search_text=人生,/resources/images/books/2022-4.jpg,首次读完：22/10,阅读时长：4h25m,人生的道路虽然漫长，但紧要处常常只有几步,聚焦个人选择对命运的决定性影响，体现路遥对农村青年命运的深刻洞察,
微信读书,微信读书,2022（143h34m）,长安的荔枝,长安的荔枝,https://search.douban.com/book/subject_search?search_text=长安的荔枝,/resources/images/books/2022-3.jpg,首次读完：22/09,阅读时长：3h42m,一骑红尘妃子笑，无人知是荔枝来,化用杜牧诗句，讽刺权贵奢靡背后平民的血泪，暗喻盛世浮华下的代价,
微信读书,微信读书,2022（143h34m）,红楼梦,红楼梦,https://search.douban.com/book/subject_search?search_text=红楼梦,/resources/images/books/2022-2.jpg,首次读完：22/09,阅读时长：104h33m,满纸荒唐言，一把辛酸泪。都云作者痴，谁解其中味,以贾府兴衰为镜，映照人生虚幻与命运无常，道尽繁华背后的苍凉,
微信读书,微信读书,2022（143h34m）,追风筝的人,追风筝的人,https://search.douban.com/book/subject_search?search_text=追风筝的人,/resources/images/books/2022-1.jpg,首次读完：22/03,阅读时长：7h42m,为你，千千万万遍,贯穿全书的救赎主题，象征友情、忠诚与自我救赎的终极承诺,
微信读书,微信读书,2021（114h58m）,白鹿原,白鹿原,https://search.douban.com/book/subject_search?search_text=白鹿原,/resources/images/books/2021-3.jpg,首次读完：21/12,阅读时长：18h49m,房是招牌地是累，攒下银钱是催命鬼,通过关中家族的兴衰，揭示传统社会对财富与权力的执念最终导向虚无,
微信读书,微信读书,2021（114h58m）,三体,三体,https://search.douban.com/book/subject_search?search_text=三体,/resources/images/books/2021-2.jpg,首次读完：21/11,阅读时长：69h29m,给岁月以文明，而不是给文明以岁月,探讨文明存续与人性价值的冲突，这句话点明文明的意义在于质量而非单纯的时间长度,
微信读书,微信读书,2021（114h58m）,明朝那些事儿,明朝那些事儿,https://search.douban.com/book/subject_search?search_text=明朝那些事儿,/resources/images/books/2021-1.jpg,首次读完：21/07,阅读时长：52h35m,所谓成功，就是用自己的方式度过人生,以幽默笔法讲述明朝历史，强调历史人物的选择与命运，核心在于个人在时代洪流中的坚持与智慧,
GitHub 仓库,GitHub 仓库,2024,springbear2020.github.io,个人文件,https://github.com/springbear2020/springbear2020.github.io,/resources/images/repositories/springbear2020.github.io.png,开发时间：24/12/28-24/12/31,核心技术：Vue,,,
GitHub 仓库,GitHub 仓库,2024,springbear2020,个人简介,https://github.com/springbear2020/springbear2020,/resources/images/repositories/springbear2020.png,开发时间：24/12/28-24/12/28,核心技术：Markdown,,,
GitHub 仓库,GitHub 仓库,2024,tdcode-ieip,智汇异常洞察平台,https://github.com/springbear2020/tdcode-ieip,/resources/images/repositories/tdcode-ieip.png,开发时间：24/09/26-至今,核心技术：Go + Vue + ELK,,,true
GitHub 仓库,GitHub 仓库,2024,ops-dashboard-carousel,轮播大屏,https://github.com/springbear2020/ops-dashboard-carousel,/resources/images/repositories/ops-dashboard-carousel.png,开发时间：24/05/13-24/05/13,核心技术：Vue,,,true
GitHub 仓库,GitHub 仓库,2024,happy-birthday,生日快乐,https://github.com/springbear2020/happy-birthday,/resources/images/repositories/happy-birthday.png,开发时间：24/05/01-24/05/01,核心技术：jQuery + Bootstrap,,,
GitHub 仓库,GitHub 仓库,2024,ops-gateway,运管平台,https://github.com/springbear2020/ops-gateway,/resources/images/repositories/ops-gateway.png,开发时间：24/01/19-24/07/02,核心技术：Spring Boot + Vue,,,true
GitHub 仓库,GitHub 仓库,2023,ops-task,任务引擎,https://github.com/springbear2020/ops-task,/resources/images/repositories/ops-task.png,开发时间：23/09/19-24/06/19,核心技术：Go + Vue,,,true
GitHub 仓库,GitHub 仓库,2023,study-repo,学习仓库,https://github.com/springbear2020/study-repo,/resources/images/repositories/study-repo.png,开发时间：23/09/10-24/06/10,核心技术：HTML5 + CSS3,,,
GitHub 仓库,GitHub 仓库,2023,dbops-dbmanage,数据库平台,https://github.com/springbear2020/dbops-dbmanage,/resources/images/repositories/dbops-dbmanage.png,开发时间：23/08/30-24/07/04,核心技术：Go + Vue,,,true
GitHub 仓库,GitHub 仓库,2023,graduation-ifamily,百家谱,https://github.com/springbear2020/graduation-ifamily,/resources/images/repositories/graduation-ifamily.png,开发时间：23/02/17-23/05/30,核心技术：Spring Cloud + Vue + Nacos,,,
GitHub 仓库,GitHub 仓库,2022,atguigu-store,商品汇,https://github.com/springbear2020/atguigu-store,/resources/images/repositories/atguigu-store.png,开发时间：22/11/07-22/12/07,核心技术：Vue,,,
GitHub 仓库,GitHub 仓库,2022,atguigu-course,硅谷课堂,https://github.com/springbear2020/atguigu-course,/resources/images/repositories/atguigu-course.png,开发时间：22/10/17-22/11/04,核心技术：Spring Cloud + Nacos,,,
GitHub 仓库,GitHub 仓库,2022,chinasofti-health,美年健康,https://github.com/springbear2020/chinasofti-health,/resources/images/repositories/chinasofti-health.png,开发时间：22/07/04-22/08/02,核心技术：SSM + Dubbo + ZooKeeper,,,
GitHub 仓库,GitHub 仓库,2022,images-gather,两码一查,https://github.com/springbear2020/images-gather,/resources/images/repositories/images-gather.png,开发时间：22/06/22-22/09/15,核心技术：SSM(全注解) + Tomcat,,,
GitHub 仓库,GitHub 仓库,2022,book-house-ssm,熊猫书屋,https://github.com/springbear2020/book-house-ssm,/resources/images/repositories/book-house-ssm.png,开发时间：22/04/21-22/05/13,核心技术：SSM(配置文件) + Tomcat,,,
GitHub 仓库,GitHub 仓库,2022,book-house-web,网上书屋,https://github.com/springbear2020/book-house-web,/resources/images/repositories/book-house-web.png,开发时间：22/03/14-22/03/31,核心技术：Java Web + Tomcat,,,
GitHub 仓库,GitHub 仓库,2021,book-house-swing,电子图书资源服务系统,https://github.com/springbear2020/book-house-swing,/resources/images/repositories/book-house-swing.png,开发时间：21/11/01-21/12/31,核心技术：Java Swing,,,
GitHub 仓库,GitHub 仓库,2021,whut-matching-game,欢乐连连看,https://github.com/springbear2020/whut-matching-game,/resources/images/repositories/whut-matching-game.png,开发时间：21/04/26-21/06/27,核心技术：C++ & MFC,,,
GitHub 仓库,GitHub 仓库,2020,whut-data-mining-system,数据挖掘系统,https://github.com/springbear2020/whut-data-mining-system,/resources/images/repositories/whut-data-mining-system.png,开发时间：20/11/09-20/12/31,核心技术：Java Swing,,,
GitHub 仓库,GitHub 仓库,2020,whut-billing-management-system,计费管理系统,https://github.com/springbear2020/whut-billing-management-system,/resources/images/repositories/whut-billing-management-system.png,开发时间：20/02/24-20/04/19,核心技术：C & C++,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,智汇异常洞察平台,td2-ieip-web,http://localhost:8888/td2-ieip-web/,/resources/images/apps/td2-ieip-web.png,智汇异常洞察平台提供全方位的错误统计报表、实时监控告警和详细错误信息查询等服务,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,守财奴,miser,http://localhost:8888/miser/,/resources/images/apps/miser.png,守财奴使用 Grafana 图表实现收入、支出和结余的全方位统计，支持多种多样的可视化图表,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,轮播大屏,ops-dashboard-carousel,http://localhost:8888/ops-dashboard-carousel/,/resources/images/apps/ops-dashboard-carousel.png,轮播大屏支持自定义网站列表和轮播时长，适用于企业组织大屏的轮流定制化轮播,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,生日快乐,happy-birthday,http://localhost:8888/happy-birthday/,/resources/images/apps/happy-birthday.png,生日快乐祝福网站为钟意的 Ta 提供生日倒计时，支持背景音乐、雪花飞舞和动态蛋糕图,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,运管平台,ops-gateway-web,http://localhost:8888/ops-gateway-web/,/resources/images/apps/ops-gateway-web.png,运管平台实现企业自建应用与三方开源应用的统一登录和权限管理入口，解决频繁登录痛点,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,任务引擎,ops-task-web,http://localhost:8888/ops-task-web/,/resources/images/apps/ops-task-web.png,自动化任务引擎基于 Ansible 实现运维任务自动化执行，支持任务模板、脚本执行等功能,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,商品汇（静态）,atguigu-store-static,http://localhost:8888/atguigu-store-static/,/resources/images/apps/atguigu-store-static.png,尚品汇在线电商项目，涵盖首页、购物车、订单支付和数据管理等众多子模块,,,,
WSL 应用,WSL 应用,移卡（23/06-至今）,数据库平台,dbmanage-web,http://localhost:8888/dbmanage-web/,/resources/images/apps/dbmanage-web.png,数据库平台提供 DBA 日常运维 80% 操作，包括 ESC 资源和 DB 实例创建和权限管理等功能,,,,
WSL 应用,WSL 应用,大四（22/09-23/06）,百家谱（后台）,ifamily-backend,http://localhost:8888/ifamily-backend/,/resources/images/apps/ifamily-backend.png,百家谱系统是一款功能多样、操作简单的综合性数字化家族谱系服务平台，传承家族文化,,,,
WSL 应用,WSL 应用,大四（22/09-23/06）,百家谱（移动）,ifamily-mobile,http://localhost:8888/ifamily-mobile/,/resources/images/apps/ifamily-mobile.png,百家谱系统是一款功能多样、操作简单的综合性数字化家族谱系服务平台，传承家族文化,,,,
WSL 应用,WSL 应用,大四（22/09-23/06）,商品汇（后台）,atguigu-store-backend,http://localhost:8888/atguigu-store-backend/,/resources/images/apps/atguigu-store-backend.png,尚品汇在线电商项目，涵盖首页、购物车、订单支付和数据管理等众多子模块,,,,
WSL 应用,WSL 应用,大四（22/09-23/06）,商品汇（前台）,atguigu-store-frontend,http://localhost:8888/atguigu-store-frontend/,/resources/images/apps/atguigu-store-frontend.png,尚品汇在线电商项目，涵盖首页、购物车、订单支付和数据管理等众多子模块,,,,
WSL 应用,WSL 应用,大四（22/09-23/06）,硅谷课堂（后台）,atguigu-course-backend,http://localhost:8888/atguigu-course-backend/,/resources/images/apps/atguigu-course-backend.png,硅谷课堂系统基于微信公众号 B2C 模式，包含直播、教学与微信消息服务三大模块,,,,
WSL 应用,WSL 应用,大四（22/09-23/06）,硅谷课堂（移动）,atguigu-course-mobile,http://localhost:8888/atguigu-course-mobile/,/resources/images/apps/atguigu-course-mobile.png,硅谷课堂系统基于微信公众号 B2C 模式，包含直播、教学与微信消息服务三大模块,,,,
WSL 应用,WSL 应用,大三（21/09-22/09）,美年健康（后台）,chinasofti-health-backend,http://localhost:8888/chinasofti-health-backend/,/resources/images/apps/chinasofti-health-backend.png,美年健康系统应用于健康管理机构的分布式业务，实现健康管理机构工作内容可视化,,,,
WSL 应用,WSL 应用,大三（21/09-22/09）,美年健康（移动）,chinasofti-health-mobile,http://localhost:8888/chinasofti-health-mobile/,/resources/images/apps/chinasofti-health-mobile.png,美年健康系统应用于健康管理机构的分布式业务，实现健康管理机构工作内容可视化,,,,
WSL 应用,WSL 应用,大三（21/09-22/09）,两码一查,images-gather,http://localhost:8888/images-gather/,/resources/images/apps/images-gather.png,两码一查系统适用于高校内学生的健康码、行程码和密接查图片的收集以及信息整合和管理,,,,
WSL 应用,WSL 应用,大三（21/09-22/09）,熊猫书屋,book-house-ssm,http://localhost:8888/book-house-ssm/,/resources/images/apps/book-house-ssm.png,熊猫书屋系统用于收集各类 PDF 图书供用户下载，可作为网络电子图书资源的一站式解决方案,,,,
WSL 应用,WSL 应用,大三（21/09-22/09）,网上书屋,book-house-web,http://localhost:8888/book-house-web/,/resources/images/apps/book-house-web.png,网上书屋的主要功能是收集各类 PDF 图书供用户下载，让用户轻松获取所需的图书资源,,,,
WSL 应用,WSL 应用,大三（21/09-22/09）,电子图书资源服务系统,whut-ebrss,http://localhost:8888/attachments/whut-ebrss.tar,/resources/images/apps/whut-ebrss.png,电子图书资源服务系统是一款 C-S 应用，可从系统提供的图书资源中直接检索资源并进行下载,,,,
WSL 应用,WSL 应用,大二（20/09-21/09）,欢乐连连看,whut-matching-game,http://localhost:8888/attachments/whut-matching-game.tar,/resources/images/apps/whut-matching-game.png,连连看游戏是一款基于 MFC 框架开发的在给定的图案中进行相同图案配对连线消除的简单游戏,,,,
WSL 应用,WSL 应用,大二（20/09-21/09）,数据挖掘系统,whut-dms,http://localhost:8888/attachments/whut-dms.tar,/resources/images/apps/whut-dms.png,数据挖掘系统是一款 C/S 应用，实现日志与物流数据信息的采集、匹配、保存和显示等功能,,,,
WSL 应用,WSL 应用,大一（19/09-20/09）,计费管理系统,whut-bms,http://localhost:8888/attachments/whut-bms.tar,/resources/images/apps/whut-bms.png,计费管理系统是一个 C 语言的控制台应用程序，核心功能是实现对数据的基本维护和统计分析,,,,
